"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-05-24",-0.5,543.879240029591,"hold",547.189062023139,570.011082851014,"hold",-1,"-1",556.813178529456,546.612301537278,557.422330425671,542.657648750736,18329049.0752278,"sell","hold",513.824604863849,547.189062023139,580.553519182428,0.491356663123466,43.9503658740339,48.5809330356674,"hold"
"2012-05-25",0,543.682570988813,"hold",545.2209212537,569.561083974032,"hold",-1,"2",545.906458863885,543.682570988813,547.124762656316,539.98898330065,12133939.0814052,"sell","hold",516.186173350314,545.2209212537,574.255669157086,0.473508461826403,44.7810257434838,47.3822854730265,"hold"
"2012-05-29",-0.5,550.565648998327,"hold",544.654796753328,569.303886506741,"hold",2,"1",552.007646903757,553.332310551082,555.005060996245,546.60263245956,14054701.3859623,"hold","hold",516.737805649102,544.654796753328,572.571787857554,0.655416351378223,50.9489047749899,51.61670328656,"hold"
"2012-05-30",-0.5,557.203954305417,"hold",544.511694403106,568.879800758042,"hold",1,"0",550.363903691747,560.003974176299,560.79683854915,547.811267174273,19555329.4244166,"hold","hold",516.942396449293,544.511694403106,572.08099235692,0.780969791090554,51.3334556648854,54.3518946533303,"hold"
"2012-05-31",-2.5,544.646336310325,"hold",544.112844947251,568.333884630101,"sell",0,"-3",561.522019377978,558.611626984949,562.256869284524,552.549115255948,18160780.6997425,"hold","hold",517.622971570155,544.112844947251,570.602718324347,0.773666503257698,52.4362784371312,53.6699927826248,"hold"
"2012-06-01",0,542.425590885512,"hold",543.105810502952,567.531157797977,"hold",-3,"1",550.325227380876,542.425590885512,553.699735504355,541.971144232779,19243510.646243,"sell","hold",518.003610759945,543.105810502952,568.20801024596,0.486450995840914,51.5947966370443,46.384517597283,"hold"
"2012-06-04",0,545.616386532354,"hold",543.059398929907,566.853355449966,"hold",1,"0",542.918713849115,545.616386532354,548.720160479737,530.348912816099,20573523.7431956,"hold","hold",517.979380293347,543.059398929907,568.139417566467,0.550976588963129,50.2234840865684,47.8863484461105,"hold"
"2012-06-05",0,544.204701185569,"hold",542.737902095793,566.210941926402,"hold",0,"2",542.696325061607,544.204701185569,547.724245474814,539.853616212602,14339320.0518109,"hold","hold",517.890781771482,542.737902095793,567.585022420105,0.529516480594747,55.915522914763,47.2556695150887,"hold"
"2012-06-06",0,552.549115255948,"hold",542.896474970364,565.524050645336,"hold",2,"0",548.981225578115,552.549115255948,554.86002483048,546.786344936196,14828404.961258,"hold","hold",517.842263415192,542.896474970364,567.950686525535,0.692635083812727,62.459925990073,51.3355812296909,"hold"
"2012-06-07",0,552.800511276609,"hold",543.019272257379,564.697151118918,"hold",0,"2",558.18618756537,552.800511276609,558.215194798523,551.620883795049,14027294.4286767,"hold","hold",517.796735184914,543.019272257379,568.241809329844,0.693898793589406,70.5013200549186,51.4574086851405,"hold"
"2012-06-08",0,561.115918113835,"hold",543.493057065546,563.975837921177,"hold",2,"-2",552.684482343996,561.115918113835,561.367314134495,550.170522137393,12836074.3003174,"hold","hold",517.30313435236,543.493057065546,569.682979778732,0.836443548178469,79.2558337777075,55.4317822598792,"hold"
"2012-06-11",0,552.268712002135,"hold",543.708677498651,563.227644687381,"hold",-2,"1",568.271035624936,552.268712002135,569.025223686917,551.746581805379,21839311.4798677,"hold","hold",517.305185428665,543.708677498651,570.112169568637,0.662100423701424,79.2147719536869,50.6776673669153,"hold"
"2012-06-12",-0.5,554.308113874353,"hold",544.575993769929,562.775325231747,"hold",1,"-1",555.44983857126,557.093581783269,557.538359358284,547.946634262321,16081471.7328503,"hold","hold",517.616245913493,544.575993769929,571.535741626366,0.732153284222054,71.6089865118329,53.0429122938669,"hold"
"2012-06-13",-0.5,550.459820942707,"hold",545.494072699225,561.876681148663,"hold",-1,"0",555.507853037566,553.225950696188,559.336807813777,551.504854862436,10843847.0618572,"hold","hold",518.669498877557,545.494072699225,572.318646520893,0.644119307325529,70.2928221148831,50.9343454627721,"hold"
"2012-06-14",-0.5,549.853714805972,"hold",546.724462838803,560.759129146051,"hold",0,"0",552.336395546159,552.616798799972,554.52160711036,548.488102614512,12764299.0989733,"hold","hold",520.985321726941,546.724462838803,572.463603950665,0.614462559872552,63.7876596179578,50.5932173204787,"hold"
"2012-06-15",-0.5,552.355105211543,"hold",548.852143390584,559.788740506302,"hold",0,"2",552.104337680934,555.130759006575,555.604543814743,550.702321411867,12383187.2589834,"hold","hold",528.22884036779,548.852143390584,569.475446413377,0.652221387841034,69.257391820613,52.0213620333232,"hold"
"2012-06-18",-0.5,563.563258374963,"hold",551.530477918388,558.862442860946,"hold",2,"0",552.065661370063,566.395234547701,568.435409946137,551.495185784719,16267321.9299906,"hold","hold",537.436550469426,551.530477918388,565.62440536735,1.02734614546382,69.6029897283016,57.8943994681474,"hold"
"2012-06-19",-0.5,565.131437744609,"hold",552.793742922206,557.91835411259,"hold",0,"0",564.093994050888,567.971294215687,570.475585344573,563.803921719356,13349049.802719,"hold","hold",537.603574313266,552.793742922206,567.983911531146,0.999584688103743,68.7693691568057,58.6569415538187,"hold"
"2012-06-20",-0.5,563.524775445646,"hold",554.184639751898,557.092614875497,"hold",0,"-1",568.744820433104,566.356558236831,569.750404515745,561.580033844284,13258141.4425152,"hold","hold",539.380885440259,554.184639751898,568.988394063536,0.911109176385189,61.7029234703025,57.5078240565963,"hold"
"2012-06-21",-0.5,555.76084445605,"hold",554.528375464762,556.154134192217,"hold",-1,"1",566.066485905299,558.553612518643,568.754489510821,558.331223731136,12054303.7715565,"hold","hold",539.654224689609,554.528375464762,569.402526239915,0.635309810782763,63.7233223952585,52.1873312712637,"hold"
"2012-06-22",-0.5,560.022828877848,"hold",555.339611085278,555.367651410659,"hold",1,"-2",559.878276165968,562.837013947586,562.924035647045,556.378070032159,10507413.7333668,"hold","hold",540.511199243257,555.339611085278,570.168022927298,0.752805322046092,66.7982760430549,54.6667866791038,"hold"
"2012-06-25",-0.5,549.12253914896,"buy",555.749579980508,554.701258574355,"hold",-2,"0",558.195856643088,551.881948893427,560.613126072514,551.495185784719,11242850.990943,"hold","hold",541.806005525555,555.749579980508,569.693154435462,0.361311348120358,60.4990845905863,47.8345090591362,"hold"
"2012-06-26",-0.5,550.334751422428,"hold",555.737977087247,554.544619515328,"hold",0,"0",552.423417245618,553.100252685857,555.478845804413,548.555786158536,10214314.4241316,"hold","hold",541.785992325349,555.737977087247,569.689961849146,0.405471355996851,54.1543314476032,48.6038133844174,"hold"
"2012-06-27",-0.5,552.71107230772,"hold",555.512204122539,553.863916444002,"hold",0,"-1",555.971968768016,555.488514882131,557.654388290896,552.993892830963,7498026.4009307,"hold","hold",541.69820089699,555.512204122539,569.326207348088,0.499142564250876,52.5172787675393,50.1556358226643,"hold"
"2012-06-28",2.5,563.974339214131,"hold",555.09256614959,553.104120316944,"buy",-1,"3",552.75216588802,550.218867525981,555.005060996245,546.892704791091,10447015.0048582,"hold","hold",541.171183350062,555.09256614959,569.013948949118,0.32495637488777,46.0776720707889,46.798078876539,"hold"
"2012-06-29",-0.5,561.85076802038,"hold",556.204993541012,553.037597062247,"hold",3,"1",558.872692083327,564.67413871395,564.67413871395,555.246787939188,15568806.4978897,"hold","hold",542.97148401635,556.204993541012,569.438503065674,0.819988630270553,44.1522380945402,55.582060675702,"hold"
"2012-07-02",-0.5,570.047631964787,"hold",557.569783860866,553.415464619454,"hold",1,"1",565.379981387342,572.912192929434,573.830755312616,564.287375605242,14778038.2133407,"hold","hold",543.389602392536,557.569783860866,571.749965329197,1.04098070263887,53.1760842197163,59.6688974483514,"hold"
"2012-07-03",-0.5,576.676316539548,"hold",559.338258175434,553.95132490657,"hold",1,"2",575.194095270813,579.574187476933,580.144663062277,574.343216431655,8928049.03635558,"hold","hold",543.53695412843,559.338258175434,575.139562222439,1.14032466058821,52.7546050245778,62.6608686358906,"hold"
"2012-07-05",-0.5,586.806947682107,"hold",561.198588728321,554.911657705492,"hold",2,"-1",580.686131414469,589.755726313676,594.010120509466,579.806245342158,17891468.5609816,"hold","hold",540.909087211679,561.198588728321,581.488090244962,1.20374172480117,61.5821357564921,66.7238448969059,"hold"
"2012-07-06",-0.5,582.900930356486,"hold",562.850067202505,554.831984505098,"hold",-1,"1",587.00003916413,585.830080760288,588.30536465602,581.672377341675,15473864.6609532,"hold","hold",540.311414044913,562.850067202505,585.388720360096,1.00979118843316,53.4182713967975,63.8394700909105,"hold"
"2012-07-09",-0.5,590.607136952108,"hold",564.473021897422,554.951687687244,"hold",1,"-1",585.269274252661,593.575012012169,593.584681089887,584.118654004254,14013952.928715,"hold","hold",538.287950759648,564.473021897422,590.658093035195,1.05569812970198,53.011955829551,66.8813009660675,"hold"
"2012-07-10",-0.5,585.14256098917,"hold",566.26373509074,555.052439477062,"hold",-1,"-1",597.519995720992,588.082975868513,599.357120487356,585.278943330378,18909973.1472016,"hold","hold",538.795056840291,566.26373509074,593.73241334119,0.897165829728549,54.6490135333565,62.8442316925056,"hold"
"2012-07-11",-0.5,581.505924168764,"hold",567.630459226138,555.447904755716,"hold",-1,"-1",586.062138625512,584.42806449122,587.551176594039,577.456659456755,17335159.0393247,"hold","hold",539.412968629791,567.630459226138,595.847949822484,0.797645270895517,53.3043975565322,60.2383039328581,"hold"
"2012-07-12",-0.5,576.185659190763,"hold",568.923214916995,555.772205622368,"hold",-1,"1",580.376720927502,579.08106451333,583.499833030321,573.066898172917,15810401.411924,"hold","hold",541.097557592492,568.923214916995,596.748872241498,0.682526678127922,52.1358888757514,56.5442485457323,"hold"
"2012-07-13",0,584.950194687976,"hold",570.539884711395,556.139437194086,"hold",1,"0",582.997040989,584.950194687976,587.096729941307,580.144663062277,11503061.9514354,"hold","hold",542.935434065825,570.539884711395,598.144335356966,0.761014250230938,57.8976144684606,59.4814441432411,"hold"
