"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-05-24",-0.5,26.4872131481532,"hold",29.584364755262,33.0562059748541,"hold",-2,"-1",27.2194215797162,26.620314721762,27.3891685228032,26.2708357212888,40805541.9086382,"hold","hold",24.2542460635699,29.584364755262,34.9144834469542,0.221952717664625,24.9533684678041,27.1661355383531,"buy"
"2012-05-25",-0.5,26.2984445623262,"hold",29.233899457566,32.8607192392347,"hold",-1,"2",26.3307464070842,26.4305975500766,26.8899128078414,26.3107761784857,25313981.6355783,"hold","hold",24.0439981794809,29.233899457566,34.423800735651,0.229927241648446,25.5757856192717,26.4655404521916,"buy"
"2012-05-29",-4,25.9005876830731,"hold",28.9338519639119,32.6678311983167,"sell",2,"-4",26.8000467791483,26.9797788365345,27.0297044080307,26.6302998360613,27117165.8015702,"hold","hold",23.9555563370425,28.9338519639119,33.9121475907813,0.303740750465815,29.6273948935986,31.937476846674,"hold"
"2012-05-30",0,25.9612971780125,"hold",28.5549306172389,32.4449907459106,"hold",-4,"2",26.490508235872,25.9612971780125,26.5703891502659,25.941326949414,33628959.0621618,"hold","hold",23.8930097101719,28.5549306172389,33.216851524306,0.221827816158921,30.5769392997985,27.805126151842,"buy"
"2012-05-31",-6,24.8823057268371,"hold",28.2463905853925,32.2141677595293,"sell",2,"-4",26.1609994639972,26.4705380072735,26.7401360933529,25.8215055778232,37277590.3054506,"hold","hold",23.9010584764884,28.2463905853925,32.5917226942967,0.295659740888378,29.9750448256931,32.5073949102278,"hold"
"2012-06-01",-0.5,25.2254441797303,"hold",27.8924182834846,31.9665680711364,"hold",-4,"-2",25.8215055778232,25.3522052057591,26.0411780924064,25.2124136055698,41589709.196598,"hold","hold",23.8239165910948,27.8924182834846,31.9609199758745,0.187819586940693,31.1759506418096,28.1683423916138,"buy"
"2012-06-04",4,25.7743758383308,"hold",27.5539229087406,31.7255530617877,"buy",-2,"4",25.4221010058538,24.7830536907027,25.4919968059484,24.5733662904187,38851633.3788687,"hold","hold",23.6362572373703,27.5539229087406,31.4715885801109,0.146362215350975,32.1065168542083,26.2481161721663,"buy"
"2012-06-05",4,26.7401360933529,"hold",27.2583635254832,31.4985186170918,"buy",4,"5",24.713157890608,25.7116693205316,25.8414758064217,24.7031727763088,36139896.7688959,"hold","hold",23.7418001933837,27.2583635254832,30.7749268575827,0.280084409282038,39.3717275697342,34.1371594378904,"hold"
"2012-06-06",0,27.0996002081253,"hold",27.0496746366292,31.2932535536993,"hold",5,"-1",26.2708357212888,27.0996002081253,27.1095853224246,25.9712822923117,47148083.2258516,"hold","hold",24.054180287582,27.0496746366292,30.0451689856764,0.508333444446668,47.8695201017687,43.8113825906483,"hold"
"2012-06-07",5,28.2134397082051,"hold",26.8729381135327,31.0963720167009,"buy",-1,"3",27.7286624089772,26.8699425792429,27.9083944663634,26.6402849503605,44214416.2569875,"sell","hold",24.3032492093301,26.8729381135327,29.4426270177353,0.499417140673165,57.69305105529,42.6939039482295,"hold"
"2012-06-08",-3.5,26.758159224663,"hold",26.7291524676237,30.9110749222785,"sell",3,"-5",26.6003444931636,27.7286624089772,27.7486326375757,26.320761292785,37050051.5981396,"hold","hold",24.7587890761087,26.7291524676237,28.6995158591387,0.753635939862076,66.7859209466698,48.0315228445605,"hold"
"2012-06-11",4,27.4982059709508,"hold",26.5858660774297,30.7109964997864,"buy",-5,"4",28.3876799527267,26.4405826643758,28.4575757528214,26.3906570928796,58337739.8138141,"sell","hold",25.0083636937904,26.5858660774297,28.1633684610689,0.453951444206791,56.9852155410722,41.7498212535383,"hold"
"2012-06-12",-1,27.3030968375438,"hold",26.5599047802517,30.5328855730367,"hold",4,"0",26.620314721762,27.5788856944887,27.6088410373864,26.3806719785804,43211523.380662,"hold","hold",25.0680408188151,26.5599047802517,28.0517687416882,0.841512678292657,56.4088162359212,48.1974748940497,"hold"
"2012-06-13",-0.5,27.4906672096549,"hold",26.5539137116721,30.3493846388385,"hold",0,"1",27.2993024941101,27.6288112659848,28.058171180852,27.0297044080307,64254847.8437666,"hold","hold",25.0803425599746,26.5539137116721,28.0274848633697,0.864725365678626,66.2551171471721,48.4669015304252,"hold"
"2012-06-14",-1,27.5897694690748,"hold",26.6033400274533,30.1806586202514,"hold",1,"1",27.718677294678,27.8684540091665,28.1180818666474,27.5289601229925,45576644.0284855,"hold","hold",25.0266389423327,26.6033400274533,28.180041112574,0.901190179182353,66.6406062855419,49.8161123716046,"hold"
"2012-06-15",-4,27.1371442378905,"hold",26.6981986132961,30.046472974692,"sell",1,"-3",28.058171180852,28.2678585811359,28.2678585811359,27.0596597509284,60109276.8708666,"hold","hold",24.9680851456783,26.6981986132961,28.4283120809138,0.953629197511872,72.7475031161821,52.0685242064125,"hold"
"2012-06-18",4,28.6093494901698,"hold",26.7750839934002,29.9021009857715,"buy",-3,"3",27.9383498092611,27.508989894394,28.0781414094504,27.4590643228978,32871130.9819586,"hold","hold",25.0443494103704,26.7750839934002,28.50581857643,0.712021504680698,67.5827103975425,47.6888793069692,"hold"
