"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-05-24",-1,34.4314836097677,"hold",37.5573306273917,42.2403363696617,"hold",-2,"0",35.0460763018474,34.7792763735028,35.1794762660198,34.4648336008108,1665097.89847498,"hold","hold",32.4003533946431,37.5573306273917,42.7143078601404,0.230650909582522,39.4934015400271,32.7602302037135,"hold"
"2012-05-25",-1,34.6012827070214,"hold",37.1852400130396,41.9775384402422,"hold",0,"0",34.7792763735028,34.9507906131529,35.3033476613227,34.7316335291555,1160405.10925488,"hold","hold",32.4183283234162,37.1852400130396,41.952151702663,0.265629243273941,36.897662473635,33.8837754997687,"hold"
"2012-05-29",-5,33.1851468016433,"hold",36.8646036705825,41.7034967995568,"sell",0,"-3",34.8650334933278,34.931733475414,35.227119110367,34.5029478762886,1529610.60571492,"hold","hold",32.4072443600344,36.8646036705825,41.3219629811307,0.283182142104354,38.6427426428611,33.8161623976044,"hold"
"2012-05-30",-1,33.6296545394033,"hold",36.4582102083004,41.3909597406387,"hold",-3,"1",34.2837907922912,33.9693480195993,34.3600193432468,33.8454766242964,1348995.86455297,"hold","hold",32.5329227679601,36.4582102083004,40.3834976486406,0.182970708957136,40.7756387981954,30.5056486747022,"hold"
"2012-05-31",-5,32.5696012526767,"hold",36.1575838604691,41.0963363911952,"sell",1,"-5",34.321905067769,34.2837907922912,34.6268192715915,33.7406623667324,1893148.93423611,"hold","hold",32.5456892404768,36.1575838604691,39.7694784804614,0.240608009740065,40.0585507636507,32.8197889730742,"hold"
"2012-06-01",5,34.3518472162741,"hold",35.8562280577034,40.7802678368878,"buy",-5,"3",33.2937901498929,32.7160449678801,33.5777665952891,32.6377066381156,2843052.70063416,"hold","hold",32.152943353087,35.8562280577034,39.5595127623197,0.0760273189489227,40.0510056445512,27.8417778509375,"buy"
"2012-06-04",-1,33.2226001927195,"hold",35.5907855374209,40.4949537340291,"hold",3,"0",33.9792505353319,33.558182012848,33.9890428265525,33.2056595289079,3002565.9304614,"hold","hold",32.0304915576758,35.5907855374209,39.1510795171659,0.214545549309041,47.8604745206328,33.6624274613478,"hold"
"2012-06-05",5,35.2463730192719,"hold",35.2948647828737,40.195733195068,"buy",0,"5",33.137113490364,33.5679743040685,33.8617430406852,33.137113490364,2494411.10868139,"hold","hold",32.1154585451588,35.2948647828737,38.4742710205886,0.228425632069231,48.4326757923149,33.7293685811111,"hold"
"2012-06-06",-1,34.783393490364,"hold",35.127783773099,39.9044077085938,"hold",5,"0",33.7638201284797,35.1347408993576,35.1445331905782,33.7246509635974,2984490.48764487,"hold","hold",32.3033008214597,35.127783773099,37.9522667247384,0.501231575190522,57.7358620536415,43.5454280749802,"hold"
"2012-06-07",-1,34.7349216488223,"hold",35.0049446779796,39.6305884166043,"hold",0,"0",36.3294004282655,35.0857794432548,36.3391927194861,35.0074411134904,1939893.2866827,"hold","hold",32.4065857923146,35.0049446779796,37.6033035636445,0.515554965428605,64.1915853883712,43.3294379805324,"hold"
"2012-06-08",-5,33.4803332976445,"hold",34.847060855924,39.3652386563723,"sell",0,"-3",34.4982419700214,35.2424561027837,35.2718329764454,34.3807344753747,1240567.67986005,"hold","hold",32.7595786643694,34.847060855924,36.9345430474785,0.594706256287934,57.8224513662219,44.2818451538682,"hold"
"2012-06-11",-1,33.872122869379,"hold",34.6706410675601,39.1060050774116,"hold",-3,"1",35.9768779443255,34.2142655246253,36.0258394004283,34.1359271948608,2014033.23857424,"sell","hold",33.0469810839285,34.6706410675601,36.2943010511918,0.359460863870619,48.6245936907168,39.5807101819554,"hold"
"2012-06-12",-1,34.3471469164882,"hold",34.5877709454336,38.8510319452801,"hold",1,"-1",34.4590728051392,34.6940877944325,34.7038800856531,33.7050663811563,1743207.95976383,"hold","hold",33.1581342511557,34.5877709454336,36.0174076397115,0.537183170180382,39.5818797006078,42.6410501022087,"hold"
"2012-06-13",-1,33.9690665524625,"hold",34.5367836988786,38.5847999698262,"hold",-1,"0",34.175096359743,34.3121884368308,34.8311798715203,33.9792505353319,2047120.48983162,"hold","hold",33.1447004104297,34.5367836988786,35.9288669873276,0.419331241201076,46.9109503408323,40.8667880380516,"hold"
"2012-06-14",5.5,36.3543218094218,"hold",34.5260142333386,38.3539028158947,"buy",0,"4",33.8127815845824,34.4590728051392,34.6745032119914,33.6561049250535,1963585.39252132,"hold","hold",33.1350258495902,34.5260142333386,35.9170026170871,0.475937459657616,46.4584336211153,41.8686584631742,"hold"
"2012-06-15",-5.5,33.7853142077088,"hold",34.6060774542453,38.1854470152441,"sell",4,"-3",34.8801413276231,35.7516552462527,35.9279164882227,34.7626338329764,2581214.08265909,"hold","hold",33.1291113759778,34.6060774542453,36.0830435325129,0.887814523591189,49.1416086287941,49.9111163461265,"hold"
"2012-06-18",5,36.3156912205567,"hold",34.6193008304072,38.0055009868866,"buy",-3,"3",34.8018029978587,34.5863725910064,35.0466102783726,34.4394882226981,2165581.01902471,"sell","hold",33.1480237548961,34.6193008304072,36.0905779059183,0.488809640295203,48.1122774833573,44.0009678539736,"hold"
"2012-06-19",-1,35.2971950107066,"hold",34.6291972089479,37.8613855780716,"hold",3,"1",34.8018029978587,35.6537323340471,35.8887473233405,34.7038800856531,1803663.67811065,"hold","hold",33.1330934622414,34.6291972089479,36.1253009556543,0.842401095964986,53.3399236715437,49.8578716814955,"hold"
"2012-06-20",-5.5,34.0166570877944,"hold",34.6609943815592,37.7523293369646,"sell",1,"-3",35.8299935760171,35.9964625267666,36.4762847965739,35.6145631691649,2528008.96566805,"hold","hold",33.0794765233583,34.6609943815592,36.2425122397601,0.922210896412691,54.4730167617709,51.6080679878088,"hold"
"2012-06-21",-1,34.424701862955,"hold",34.6330190193725,37.5890632329334,"hold",-3,"1",36.4371156316916,34.772426124197,36.4567002141328,34.7136723768737,1568682.92149574,"hold","hold",33.0804341314462,34.6330190193725,36.1856039072988,0.544895163513627,56.4729146444431,45.4997745039858,"hold"
"2012-06-22",-6,33.1187039828694,"hold",34.6556883912755,37.4083218898151,"sell",1,"-5",35.8691627408994,35.2326638115632,35.9475010706638,34.9878565310492,1676829.21495736,"hold","hold",33.0821253117772,34.6556883912755,36.2292514707738,0.683334061342995,54.6726405229056,47.9923156695292,"hold"
"2012-06-25",-1,33.1838227194861,"hold",34.5840995030162,37.2344709449409,"hold",-5,"1",33.6854817987152,33.5190128479657,33.8519507494647,33.1762826552463,2137089.21933086,"hold","hold",32.9419697629068,34.5840995030162,36.2262292431255,0.175699602462739,55.3340210048649,40.5550418907808,"hold"
"2012-06-26",-1,33.4649594004283,"hold",34.5276622939136,37.0645843865781,"hold",1,"2",33.7736124197002,33.8029892933619,34.0477965738758,33.225244111349,2025368.68576427,"hold","hold",32.8598175153929,34.5276622939136,36.1955070724343,0.28275166553735,53.6883039856396,42.154798934219,"hold"
"2012-06-27",-6,32.511190235546,"hold",34.5585135224839,36.8737757897095,"sell",2,"-4",33.9498736616702,34.5863725910064,34.6647109207709,33.8519507494647,1326349.44237918,"hold","hold",32.9104099377424,34.5585135224839,36.2066171072254,0.508451856054563,52.5346112328145,46.4371234071979,"hold"
"2012-06-28",6,35.166859614561,"hold",34.5031381156317,36.6711545325812,"buy",-4,"7",32.8629293361884,33.1762826552463,33.225244111349,32.4418608137045,3206093.37415264,"hold","hold",32.7507119112871,34.5031381156317,36.2555643199763,0.121423299567222,49.2479074501164,40.6094344310918,"hold"
"2012-06-29",-1,35.0645301713062,"hold",34.6382717344754,36.5358693917749,"hold",7,"2",35.1347408993576,35.4187173447537,35.4676788008565,34.9780642398287,2256162.47539908,"hold","hold",33.0486586044597,34.6382717344754,36.2278848644911,0.745482877418947,56.7047230574216,51.115894268229,"hold"
"2012-07-02",-1.5,35.5722604710921,"hold",34.7660611349036,36.3937170243664,"hold",2,"1",35.7614475374732,36.1139700214133,36.1237623126338,35.3893404710921,1269876.44872075,"hold","hold",33.1339558364831,34.7660611349036,36.3981664333241,0.912935638348245,62.1268775145719,53.8423009925784,"hold"
"2012-07-03",-5.5,34.4330742719486,"hold",34.9095182012848,36.2898529891875,"sell",1,"-5",36.1237623126338,36.4371156316916,36.6623383297645,36.0258394004283,1156419.85567461,"hold","hold",33.220479953951,34.9095182012848,36.5985564486186,0.952209247723727,61.0126101127942,55.0958736060588,"hold"
"2012-07-05",-5.5,32.7951666809422,"hold",34.8879751605996,36.1435108166148,"sell",-5,"-5",35.0270256959315,34.7038800856531,35.0955717344754,34.4394882226981,1423364.53094249,"sell","hold",33.1999863736927,34.8879751605996,36.5759639475064,0.445469106082214,62.1642630444729,47.6248073698472,"hold"
"2012-07-06",-1.5,32.4567940578158,"hold",34.7812391862955,35.9360039627702,"hold",-5,"-1",33.6854817987152,32.9510599571734,33.8421584582441,32.7552141327623,3046069.53859611,"hold","hold",32.8980932370696,34.7812391862955,36.6643851355214,0.0140633603374327,51.9422519511656,41.4965136543866,"hold"
"2012-07-09",-1,32.4276619914347,"hold",34.6568770877944,35.7544998986875,"hold",-1,"-2",32.9510599571734,32.7552141327623,33.0587751605996,32.520199143469,1416624.53531599,"hold","hold",32.5922254865286,34.6568770877944,36.7215286890602,0.0394712226832346,53.5534158702307,40.8638006729163,"hold"
"2012-07-10",-1,31.6327237901499,"hold",34.543776124197,35.5456927657371,"hold",-2,"0",32.8139678800856,31.9522462526767,32.9804368308351,31.7759850107066,2018424.44784605,"hold","hold",32.1698672138917,34.543776124197,36.9176850345022,-0.0458359965435869,46.5877587773609,38.2862539303947,"hold"
"2012-07-11",-5,30.41045,"hold",34.4096217344754,35.359023559246,"sell",0,"-3",32.1578843683084,32.011,32.5495760171306,31.7368158458244,1254354.03455062,"hold","hold",31.7939141489989,34.4096217344754,37.0253293199518,0.0414965824556294,38.8872667345079,38.5914778182685,"hold"
"2012-07-12",-1,30.8765630620985,"hold",34.2534346895075,35.1408481646906,"hold",-3,"-1",31.061147751606,31.1884475374732,31.3059550321199,30.7184175588865,1340952.76623661,"hold","hold",31.2839831252209,34.2534346895075,37.2228862537941,-0.0160864027715789,39.5070358129951,35.9134995043442,"hold"
"2012-07-13",-1,30.6342038543897,"hold",34.0776630620985,34.9537946148515,"hold",-1,"-1",30.4246488222698,30.9436402569593,31.0317708779443,30.4246488222698,2538118.95910781,"hold","hold",30.7797015154971,34.0776630620985,37.3756246086999,0.0248545562381066,31.922121645269,35.1321140261932,"hold"
"2012-07-16",-1,30.2755122269807,"hold",33.8191465738758,34.7905579040236,"hold",-1,"0",30.4931948608137,30.5813254817987,30.6792483940043,30.1308800856531,1524260.22304833,"hold","hold",30.2845104408784,33.8191465738758,37.3537827068732,0.0419866472462971,32.8623690110159,33.9546352756155,"hold"
