"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-05-24",-0.5,600.6417,"hold",609.1705,620.7244,"hold",-1,"-2",609.16,603.66,611.92,598.87,1891300,"hold","hold",594.35407873844,609.1705,623.98692126156,0.314040789515866,57.295184790358,46.4285314877319,"hold"
"2012-05-25",-0.5,588.57235,"hold",607.998,620.1324,"hold",-2,"0",601,591.53,601.73,588.28,3581900,"hold","hold",591.581097003393,607.998,624.414902996607,-0.00155623150736163,50.4534799396454,41.8357780388905,"hold"
"2012-05-29",-0.5,591.3683,"hold",607.4725,619.5184,"hold",0,"-1",595.81,594.34,599.13,588.32,2605700,"hold","hold",590.044467552245,607.4725,624.900532447755,0.123236299353696,50.2849372191583,43.2366121070814,"hold"
"2012-05-30",-0.5,585.28885,"hold",606.6625,618.6034,"hold",-1,"-1",588.16,588.23,591.9,583.53,1906700,"hold","hold",587.341130612713,606.6625,625.983869387287,0.0230022357491912,50.8845972483621,40.928403026617,"hold"
"2012-05-31",-0.5,577.9557,"hold",605.3425,617.5508,"hold",-1,"-2",588.72,580.86,590,579,2968300,"hold","hold",582.994611621005,605.3425,627.690388378994,-0.0477586871923842,45.664952097394,38.2741632426919,"hold"
"2012-06-01",-0.5,568.1251,"hold",603.3405,616.1708,"hold",-2,"1",571.79,570.98,572.65,568.35,3057900,"hold","hold",576.636463245232,603.3405,630.044536754768,-0.105910265499881,44.8492579123988,34.9975365080424,"hold"
"2012-06-04",-0.5,575.69705,"hold",602.4215,614.8216,"hold",1,"-1",570.22,578.59,580.49,570.01,2432700,"hold","hold",573.713868070494,602.4215,631.129131929506,0.084927449632206,49.6314019815258,39.3074545659937,"hold"
"2012-06-05",-0.5,567.55795,"hold",600.5645,613.378,"hold",-1,"2",575.45,570.41,578.13,566.47,2339900,"hold","hold",568.783668371485,600.5645,632.345331628515,0.0255866751305425,44.7014189447977,36.5055614770634,"hold"
"2012-06-06",-0.5,577.66715,"hold",598.9535,612.0028,"hold",2,"0",576.48,580.57,581.97,573.61,2095800,"hold","hold",566.554373298806,598.9535,631.352626701194,0.216296365492428,40.6607459351542,42.0325193257315,"hold"
"2012-06-07",-0.5,575.33885,"hold",597.4075,610.627,"hold",0,"0",587.6,578.23,587.89,577.25,1758500,"hold","hold",564.162321176598,597.4075,630.652678823402,0.211574720324554,37.9483397548011,41.1442063867657,"hold"
"2012-06-08",-0.5,577.54775,"hold",595.747,609.1208,"hold",0,"-2",575.85,580.45,581,574.58,1410400,"hold","hold",562.597407483651,595.747,628.896592516349,0.269273181978698,43.0935486261349,42.3881878334977,"hold"
"2012-06-11",-0.5,565.6575,"hold",593.9105,607.5226,"hold",-2,"-1",584.21,568.5,585.32,566.69,2661100,"hold","hold",559.040758116814,593.9105,628.780241883186,0.135636821099426,34.6778124539643,37.7614683356243,"hold"
"2012-06-12",-0.5,562.2745,"hold",591.9655,605.9998,"hold",-1,"-1",569.77,565.1,570.3,558.58,3224200,"hold","hold",555.271955894804,591.9655,628.659044105196,0.133920616621558,34.7139795593777,36.5394274032322,"hold"
"2012-06-13",-0.5,558.28455,"hold",589.4645,604.2832,"hold",-1,"0",561.72,561.09,567,558.68,1954200,"hold","hold",551.533600999317,589.4645,627.395399000683,0.125971164043736,26.381401771769,35.0967988452754,"hold"
"2012-06-14",0,559.05,"hold",585.9705,602.6118,"hold",0,"1",561.3,559.05,565.07,556.52,2344900,"hold","hold",550.425821368734,585.9705,621.515178631266,0.121314623782814,26.1554714056018,34.3537164159818,"hold"
"2012-06-15",0,564.51,"hold",583.0435,601.199,"hold",1,"1",560.34,564.51,564.52,557.09,3001200,"hold","hold",550.6971306365,583.0435,615.3898693635,0.213514988471733,35.4527532701955,38.129444085257,"hold"
"2012-06-18",-0.5,567.99575,"hold",581.566,599.9696,"hold",1,"2",562.62,570.85,574.21,559.25,2496900,"hold","hold",549.832070901951,581.566,613.299929098049,0.331158632029293,35.0199020094957,42.2808191778323,"hold"
"2012-06-19",-0.5,578.62235,"hold",579.937,598.9834,"hold",2,"-1",573.59,581.53,584.28,573.12,2076200,"hold","hold",551.92618844446,579.937,607.947811555541,0.528435448877324,41.0946562028313,48.5442019512896,"hold"
"2012-06-20",-0.5,574.62245,"hold",578.7725,597.9964,"hold",-1,"-2",579.81,577.51,580,573.51,2346700,"sell","hold",552.441787229549,578.7725,605.103212770451,0.476026095248417,41.9125492917106,46.4988389872184,"hold"
"2012-06-21",-0.5,562.38395,"hold",576.56,596.5814,"hold",-2,"1",579.84,565.21,579.84,563.73,2011300,"sell","hold",553.708970263903,576.56,599.411029736097,0.251652329652549,43.2809947469795,40.8302060570008,"hold"
"2012-06-22",0,571.48,"hold",574.951,594.9908,"hold",1,"-2",568,571.48,571.48,565.82,2227900,"hold","hold",555.713190457331,574.951,594.188809542669,0.40978702662843,38.5908527939213,44.5417090947523,"hold"
"2012-06-25",-0.5,557.8965,"hold",573.4095,593.7128,"hold",-2,"1",567.33,560.7,568.09,557.35,1581600,"hold","hold",554.802136430703,573.4095,592.016863569297,0.158481978044128,39.6398581419328,39.9068827018886,"hold"
"2012-06-26",0,564.68,"hold",571.9265,592.885,"hold",1,"1",562.76,564.68,566.6,559.48,1350200,"hold","hold",555.645821543621,571.9265,588.207178456379,0.277450920751983,37.9408829493792,42.2943314945716,"hold"
"2012-06-27",0,569.3,"hold",570.98,592.0796,"hold",1,"-1",567.7,569.3,573.99,566.02,1692300,"hold","hold",556.499118811343,570.98,585.460881188657,0.441992480356919,37.7171156128304,45.0246955742021,"hold"
"2012-06-28",2.5,578.41775,"hold",570.1525,591.2168,"buy",-1,"3",565.9,564.31,566.23,557.21,1920900,"hold","hold",556.140655189269,570.1525,584.164344810731,0.291515675525973,37.1036611317903,42.6759881299119,"hold"
"2012-06-29",0,580.07,"hold",570.607,590.8322,"hold",3,"0",574.96,580.07,580.13,572.2,2519500,"hold","hold",555.942760367479,570.607,585.271239632521,0.82265566565803,46.2528342669632,51.3141484590729,"hold"
"2012-07-02",0,580.47,"hold",570.701,590.5204,"hold",0,"1",581.82,580.47,583,576.5,1655500,"hold","hold",555.810913499244,570.701,585.591086500756,0.828037046645222,55.1117453628275,51.5138543182594,"hold"
