"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-05-24",-0.5,214.1638,"hold",223.422,205.1722,"hold",-1,"-1",216.98,215.24,217.66,212.7,3141100,"hold","hold",212.837466755685,223.422,234.006533244314,0.113492640103199,37.5662838447287,50.8020758637802,"hold"
"2012-05-25",0.5,213.95445,"hold",222.724,205.7414,"hold",-1,"1",214.99,212.89,215.98,212.22,2171400,"hold","hold",211.32584681626,222.724,234.12215318374,0.0686143254317449,38.3928786179186,48.022838878187,"hold"
"2012-05-29",-2.5,209.38125,"hold",221.8665,206.3354,"sell",1,"-3",214.3,214.75,216.55,212.29,2693900,"hold","hold",210.782556162178,221.8665,232.950443837822,0.178972570407841,44.4088236749666,50.3385953502368,"hold"
"2012-05-30",-0.5,208.18385,"hold",220.826,206.8096,"hold",-3,"2",212.14,209.23,212.98,207.75,4078200,"hold","hold",209.11710355328,220.826,232.534896446719,0.00482096870671442,37.6140112223964,44.0641347766421,"hold"
"2012-05-31",-0.5,211.84545,"hold",219.959,207.2212,"hold",2,"-2",209.48,212.91,213.79,207.11,4944000,"hold","hold",208.607270792518,219.959,231.310729207482,0.189518668426576,37.585824764961,48.6586142219385,"hold"
"2012-06-01",2.5,213.4255,"hold",218.8975,207.551,"buy",-2,"3",208.44,208.22,211.23,207.3,3951500,"hold","hold",207.325999016981,218.8975,230.469000983018,0.0386294303708158,30.1699131942274,43.7288748111945,"hold"
"2012-06-04",-0.5,213.49715,"hold",218.4265,207.9944,"hold",3,"-1",207.4,214.57,215.35,206.37,4299600,"hold","hold",206.956059249968,218.4265,229.896940750032,0.33189399239131,36.9676377010792,50.9715347017975,"hold"
"2012-06-05",-0.5,212.14395,"hold",217.829,208.3578,"hold",-1,"2",213.85,213.21,216.86,211.16,3543900,"hold","hold",206.581006578949,217.829,229.076993421051,0.294674488724567,34.1439081420063,49.5019827195592,"hold"
"2012-06-06",-0.5,216.5518,"hold",217.516,208.6532,"hold",2,"1",214.63,217.64,218.4,214.52,2710100,"buy","hold",206.618238027925,217.516,228.413761972075,0.505689241530408,41.1312372049639,54.1400817805929,"hold"
"2012-06-07",-0.5,217.706,"hold",217.307,208.9204,"hold",1,"0",219.65,218.8,221.49,218.11,3503900,"hold","hold",206.679433768731,217.307,227.934566231269,0.570241858178561,48.8999270459474,55.2978796949336,"hold"
"2012-06-08",-0.5,217.3876,"hold",216.8965,209.2668,"hold",0,"-1",218.61,218.48,219.42,216.66,2877000,"hold","hold",207.152877932206,216.8965,226.640122067794,0.581258283058517,51.2045240038128,54.8862189334627,"hold"
"2012-06-11",-0.5,215.4175,"hold",216.3375,209.5046,"hold",-1,"0",217.49,216.5,220.87,215.2,3749100,"hold","hold",207.943280858233,216.3375,224.731719141767,0.509679280303245,43.7136856543364,52.2922303825434,"hold"
"2012-06-12",-0.5,215.3379,"hold",216.012,209.7828,"hold",0,"-1",217.65,216.42,218,214.52,2833300,"hold","hold",208.179486737962,216.012,223.844513262038,0.526045279870607,44.5245695840904,52.1849156846018,"hold"
"2012-06-13",-0.5,213.65635,"hold",215.529,210.1164,"hold",-1,"0",215.52,214.73,217.38,213.52,2325200,"hold","hold",208.694847821419,215.529,222.363152178581,0.441543590256586,46.3604424235234,49.8571928598726,"hold"
