"newtestdata.Close","ticker.prediction.2013"
"2013-05-17",91.5,"hold"
"2013-05-20",89.94,"hold"
"2013-05-21",87.59,"sell"
"2013-05-22",87.24,"hold"
"2013-05-23",92.73,"buy"
"2013-05-24",97.08,"buy"
"2013-05-28",110.33,"buy"
"2013-05-29",104.63,"sell"
"2013-05-30",104.95,"hold"
"2013-05-31",97.76,"sell"
"2013-06-03",92.59,"sell"
"2013-06-04",94.84,"buy"
"2013-06-05",95.37,"hold"
"2013-06-06",97.35,"buy"
"2013-06-07",102.04,"buy"
"2013-06-10",100.05,"hold"
"2013-06-11",94.47,"sell"
"2013-06-12",97.73,"buy"
"2013-06-13",98.18,"hold"
"2013-06-14",100.3,"buy"
"2013-06-17",102.2,"hold"
"2013-06-18",103.39,"hold"
"2013-06-19",104.68,"hold"
"2013-06-20",100.65,"sell"
"2013-06-21",99.55,"hold"
"2013-06-24",101.49,"hold"
"2013-06-25",102.4,"hold"
"2013-06-26",105.72,"buy"
"2013-06-27",109.25,"buy"
"2013-06-28",107.36,"hold"
"2013-07-01",117.18,"buy"
"2013-07-02",117.82,"hold"
"2013-07-03",115.24,"sell"
"2013-07-05",120.09,"buy"
"2013-07-08",121.61,"hold"
"2013-07-09",123.45,"hold"
"2013-07-10",122.27,"hold"
"2013-07-11",125.61,"buy"
"2013-07-12",129.9,"buy"
"2013-07-15",127.26,"sell"
"2013-07-16",109.05,"sell"
"2013-07-17",120.25,"buy"
"2013-07-18",119.03,"hold"
"2013-07-19",119.68,"hold"
"2013-07-22",122.43,"buy"
"2013-07-23",122.74,"hold"
"2013-07-24",121.7,"hold"
"2013-07-25",124.07,"hold"
"2013-07-26",129.39,"buy"
"2013-07-29",134.62,"buy"
"2013-07-30",131.74,"sell"
"2013-07-31",134.28,"hold"
"2013-08-01",135.55,"hold"
"2013-08-02",138,"hold"
"2013-08-05",144.68,"buy"
"2013-08-06",142.15,"hold"
"2013-08-07",134.23,"sell"
"2013-08-08",153.48,"buy"
"2013-08-09",153,"hold"
"2013-08-12",147.38,"sell"
"2013-08-13",145.43,"hold"
"2013-08-14",139.36,"sell"
"2013-08-15",139.67,"hold"
"2013-08-16",142,"hold"
"2013-08-19",144.9,"buy"
"2013-08-20",149.58,"buy"
"2013-08-21",147.86,"hold"
"2013-08-22",157.1,"buy"
"2013-08-23",161.84,"buy"
"2013-08-26",164.22,"hold"
"2013-08-27",167.01,"hold"
"2013-08-28",166.45,"hold"
"2013-08-29",166.06,"hold"
"2013-08-30",169,"hold"
"2013-09-03",168.94,"hold"
"2013-09-04",170.62,"hold"
"2013-09-05",169.93,"hold"
"2013-09-06",166.97,"hold"
"2013-09-09",160.7,"sell"
"2013-09-10",166.37,"buy"
"2013-09-11",163.52,"hold"
"2013-09-12",164.93,"hold"
"2013-09-13",165.54,"hold"
"2013-09-16",166.58,"hold"
"2013-09-17",166.23,"hold"
"2013-09-18",166.22,"hold"
"2013-09-19",177.92,"buy"
"2013-09-20",183.39,"buy"
"2013-09-23",181.11,"hold"
"2013-09-24",182.33,"hold"
"2013-09-25",185.24,"hold"
"2013-09-26",188.64,"hold"
"2013-09-27",190.9,"hold"
"2013-09-30",193.37,"hold"
"2013-10-01",193,"hold"
"2013-10-02",180.95,"sell"
"2013-10-03",173.31,"sell"
"2013-10-04",180.98,"buy"
"2013-10-07",183.07,"hold"
"2013-10-08",174.73,"sell"
"2013-10-09",168.78,"sell"
"2013-10-10",172.93,"buy"
"2013-10-11",178.7,"buy"
"2013-10-14",179.72,"hold"
"2013-10-15",183.94,"buy"
"2013-10-16",183.56,"hold"
"2013-10-17",182.8,"hold"
"2013-10-18",183.4,"hold"
"2013-10-21",172.6,"sell"
"2013-10-22",171.54,"hold"
"2013-10-23",164.5,"sell"
"2013-10-24",173.15,"buy"
"2013-10-25",169.66,"sell"
"2013-10-28",162.86,"sell"
"2013-10-29",164.47,"hold"
"2013-10-30",159.22,"sell"
"2013-10-31",159.94,"hold"
"2013-11-01",162.17,"hold"
"2013-11-04",175.2,"buy"
"2013-11-05",176.81,"hold"
"2013-11-06",151.16,"sell"
"2013-11-07",139.77,"sell"
"2013-11-08",137.95,"hold"
"2013-11-11",144.7,"buy"
